label,region,hemi,view,x,y,.group,subgroup,.feature_id,value,fill_hex
lh_bankssts,banks of superior temporal sulcus,left,lateral,378.459081,130.466349,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,387.409829,130.118307,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,402.590027,131.466632,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,423.999676,134.511323,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,436.53073,137.616379,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,440.183191,140.781799,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,444.466613,143.131269,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,449.380997,144.664789,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,455.947552,150.540015,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,464.166277,160.756948,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,470.849386,169.999399,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,475.996879,178.26737,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,478.538201,183.218389,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,478.473353,184.852456,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,476.155271,189.706019,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,471.583957,197.779079,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,467.430065,201.730868,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,463.693596,201.561384,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,460.642834,203.735075,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,458.277781,208.251939,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,455.648256,209.960366,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,452.75426,208.860353,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,450.001513,210.871465,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,447.390014,215.993702,1,1,1,0.165896132693,#D6B9BF
lh_bankssts,banks of superior temporal sulcus,left,lateral,443.761592,217.973316,1,1,1,0.165896132693,#D6B9BF
